# bjd	phase	raw_flux	raw_err	corr_flux	corr_err	dtr_flux	dtr_err
56045.83631496	0.10612760	1.000195	0.000043	1.021979	0.000044	0.998590	0.000043
56045.85674961	0.11336912	1.000157	0.000043	1.021939	0.000044	0.998554	0.000043
56045.87718415	0.12061060	0.999884	0.000043	1.021659	0.000044	0.998283	0.000043
56045.89761880	0.12785211	0.999785	0.000043	1.021558	0.000044	0.998186	0.000043
56045.91805325	0.13509356	0.999790	0.000043	1.021563	0.000044	0.998193	0.000043
56045.93848779	0.14233503	0.999794	0.000043	1.021566	0.000044	0.998198	0.000043
56045.95892244	0.14957655	0.999585	0.000043	1.021348	0.000044	0.997992	0.000043
56045.97935689	0.15681799	0.999632	0.000043	1.021393	0.000044	0.998040	0.000043
56045.99979143	0.16405947	0.999629	0.000043	1.021389	0.000044	0.998039	0.000043
56046.02022608	0.17130099	0.999641	0.000043	1.021401	0.000044	0.998053	0.000043
56046.04066053	0.17854243	0.999783	0.000043	1.021548	0.000044	0.998196	0.000043
56046.06109507	0.18578391	0.999795	0.000043	1.021561	0.000044	0.998210	0.000043
56046.08152972	0.19302542	0.999745	0.000043	1.021508	0.000044	0.998161	0.000043
56046.10196417	0.20026687	0.999808	0.000043	1.021568	0.000044	0.998226	0.000043
56046.12239882	0.20750838	0.999861	0.000043	1.021618	0.000044	0.998281	0.000043
56046.14283336	0.21474986	0.999943	0.000043	1.021696	0.000044	0.998364	0.000043
56046.16326781	0.22199131	0.999907	0.000043	1.021654	0.000044	0.998330	0.000043
56046.18370246	0.22923282	0.999924	0.000043	1.021669	0.000044	0.998349	0.000043
56046.20413691	0.23647427	0.999985	0.000043	1.021734	0.000044	0.998411	0.000043
56046.22457146	0.24371575	0.999891	0.000043	1.021641	0.000044	0.998319	0.000043
56046.24500610	0.25095726	0.999963	0.000043	1.021721	0.000044	0.998393	0.000043
56046.26544055	0.25819870	1.000055	0.000043	1.021820	0.000044	0.998487	0.000043
56046.28587520	0.26544022	1.000112	0.000043	1.021880	0.000044	0.998545	0.000043
56046.30630975	0.27268170	1.000210	0.000043	1.021977	0.000044	0.998645	0.000043
56046.32674430	0.27992318	1.000234	0.000043	1.021996	0.000044	0.998671	0.000043
56046.34717885	0.28716466	1.000430	0.000043	1.022191	0.000044	0.998868	0.000043
56046.36761339	0.29440614	1.000411	0.000043	1.022167	0.000044	0.998851	0.000043
56046.38804794	0.30164762	1.000408	0.000043	1.022164	0.000044	0.998850	0.000043
56046.40848249	0.30888910	1.000581	0.000043	1.022345	0.000044	0.999024	0.000043
56046.42891704	0.31613058	1.000663	0.000043	1.022433	0.000044	0.999108	0.000043
56046.44935159	0.32337206	1.000626	0.000043	1.022399	0.000044	0.999073	0.000043
56046.46978624	0.33061357	1.000666	0.000043	1.022440	0.000044	0.999114	0.000043
56046.49022069	0.33785502	1.000762	0.000043	1.022537	0.000044	0.999212	0.000043
56046.51065534	0.34509653	1.000946	0.000043	1.022723	0.000044	0.999397	0.000043
56046.53108989	0.35233801	1.000856	0.000043	1.022626	0.000044	0.999309	0.000043
56046.55152434	0.35957946	1.000906	0.000043	1.022676	0.000044	0.999361	0.000043
56046.57195899	0.36682097	1.000905	0.000043	1.022676	0.000044	0.999362	0.000043
56046.59239354	0.37406245	1.000975	0.000043	1.022750	0.000044	0.999434	0.000043
56046.61282799	0.38130390	1.000893	0.000043	1.022670	0.000044	0.999353	0.000043
56046.63326264	0.38854541	1.000969	0.000043	1.022751	0.000044	0.999431	0.000043
56046.65369719	0.39578689	1.000975	0.000043	1.022761	0.000044	0.999439	0.000043
56046.67413184	0.40302841	1.000990	0.000043	1.022779	0.000044	0.999456	0.000043
56046.69456629	0.41026985	1.001068	0.000043	1.022861	0.000044	0.999535	0.000043
56046.71500084	0.41751133	1.001039	0.000043	1.022833	0.000044	0.999508	0.000043
56046.73543549	0.42475285	1.001088	0.000043	1.022882	0.000044	0.999559	0.000043
56046.75586994	0.43199429	1.001238	0.000043	1.023035	0.000044	0.999711	0.000043
56046.77630449	0.43923577	1.001305	0.000043	1.023099	0.000044	0.999779	0.000043
56046.79673914	0.44647729	1.001286	0.000043	1.023076	0.000044	0.999762	0.000043
56046.81717360	0.45371874	1.001384	0.000043	1.023174	0.000044	0.999862	0.000043
56046.83760815	0.46096022	1.001330	0.000043	1.023118	0.000044	0.999810	0.000043
56046.85804270	0.46820170	1.001425	0.000043	1.023216	0.000044	0.999907	0.000043
56046.87847725	0.47544318	1.001533	0.000043	1.023329	0.000044	1.000016	0.000043
56046.89891190	0.48268469	1.001552	0.000043	1.023349	0.000044	1.000037	0.000043
56046.91934635	0.48992614	1.001524	0.000043	1.023319	0.000044	1.000011	0.000043
56046.93978091	0.49716762	1.001599	0.000043	1.023394	0.000044	1.000088	0.000043
56046.96021556	-0.49559086	1.001522	0.000043	1.023312	0.000044	1.000013	0.000043
56046.98065011	-0.48834938	1.001526	0.000043	1.023313	0.000044	1.000019	0.000043
56047.00108456	-0.48110794	1.001607	0.000043	1.023394	0.000044	1.000102	0.000043
56047.02151921	-0.47386642	1.001602	0.000043	1.023387	0.000044	1.000098	0.000043
56047.04195377	-0.46662494	1.001605	0.000043	1.023389	0.000044	1.000103	0.000043
56047.06238832	-0.45938346	1.001567	0.000043	1.023350	0.000044	1.000067	0.000043
56047.08282287	-0.45214198	1.001604	0.000043	1.023388	0.000044	1.000106	0.000043
56047.10325742	-0.44490050	1.001592	0.000043	1.023378	0.000044	1.000096	0.000043
56047.12369208	-0.43765898	1.001560	0.000043	1.023348	0.000044	1.000066	0.000043
56047.14412653	-0.43041753	1.001643	0.000043	1.023438	0.000044	1.000151	0.000043
56047.16456108	-0.42317605	1.001585	0.000043	1.023383	0.000044	1.000095	0.000043
56047.18499574	-0.41593453	1.001748	0.000043	1.023553	0.000044	1.000259	0.000043
56047.20543019	-0.40869309	1.001708	0.000043	1.023513	0.000044	1.000221	0.000043
56047.22586484	-0.40145157	1.001732	0.000043	1.023536	0.000044	1.000247	0.000043
56047.24629940	-0.39421009	1.001704	0.000043	1.023505	0.000044	1.000221	0.000043
56047.26673385	-0.38696864	1.001669	0.000043	1.023466	0.000044	1.000188	0.000043
56047.28716850	-0.37972713	1.001722	0.000043	1.023518	0.000044	1.000243	0.000043
56047.30760306	-0.37248564	1.001778	0.000043	1.023577	0.000044	1.000301	0.000043
56047.32803751	-0.36524420	1.001712	0.000043	1.023512	0.000044	1.000237	0.000043
56047.34847217	-0.35800268	1.001697	0.000043	1.023500	0.000044	1.000224	0.000043
56047.36890672	-0.35076120	1.001474	0.000043	1.023275	0.000044	1.000003	0.000043
56047.38934117	-0.34351976	1.001559	0.000043	1.023366	0.000044	1.000090	0.000043
56047.40977583	-0.33627824	1.001375	0.000043	1.023178	0.000044	0.999908	0.000043
56047.43021038	-0.32903676	1.001310	0.000043	1.023111	0.000044	0.999845	0.000043
56047.45064494	-0.32179527	1.001197	0.000043	1.022994	0.000044	0.999735	0.000043
56047.47107949	-0.31455379	1.001025	0.000043	1.022817	0.000044	0.999565	0.000043
56047.49151405	-0.30731231	1.001037	0.000043	1.022828	0.000044	0.999579	0.000043
56047.51194860	-0.30007083	1.000879	0.000043	1.022663	0.000044	0.999423	0.000043
56047.53238316	-0.29282935	1.000714	0.000043	1.022493	0.000044	0.999260	0.000043
56047.55281771	-0.28558786	1.000618	0.000043	1.022392	0.000044	0.999166	0.000043
56047.57325227	-0.27834638	1.000525	0.000043	1.022297	0.000044	0.999075	0.000043
56047.59368682	-0.27110490	1.000457	0.000043	1.022227	0.000044	0.999009	0.000043
56047.61412148	-0.26386338	1.000282	0.000043	1.022049	0.000044	0.998837	0.000043
56047.63455593	-0.25662194	1.000149	0.000043	1.021914	0.000044	0.998706	0.000043
56047.65499049	-0.24938045	1.000014	0.000043	1.021777	0.000044	0.998573	0.000043
56047.67542514	-0.24213894	0.999834	0.000043	1.021592	0.000044	0.998395	0.000043
56047.69585970	-0.23489745	0.999763	0.000043	1.021517	0.000044	0.998326	0.000043
56047.71629416	-0.22765601	0.999476	0.000043	1.021218	0.000044	0.998042	0.000043
56047.73672881	-0.22041449	0.999356	0.000043	1.021093	0.000044	0.997924	0.000043
56047.75716337	-0.21317301	0.999071	0.000043	1.020799	0.000044	0.997642	0.000043
56047.77759782	-0.20593156	0.998960	0.000043	1.020684	0.000044	0.997533	0.000043
56047.79803248	-0.19869004	0.998778	0.000043	1.020498	0.000044	0.997353	0.000043
56047.81846704	-0.19144856	0.998688	0.000043	1.020408	0.000044	0.997265	0.000043
56047.83890169	-0.18420704	0.998554	0.000043	1.020270	0.000044	0.997133	0.000043
56047.85933615	-0.17696559	0.998402	0.000043	1.020115	0.000044	0.996984	0.000043
56047.90020536	-0.16248260	0.998279	0.000043	1.019990	0.000044	0.996865	0.000043
56047.92063982	-0.15524115	0.998320	0.000043	1.020037	0.000044	0.996908	0.000043
56047.94107438	-0.14799966	0.998463	0.000043	1.020190	0.000044	0.997053	0.000043
56047.96150904	-0.14075814	0.998683	0.000043	1.020425	0.000044	0.997274	0.000043
56047.98194349	-0.13351670	0.998853	0.000043	1.020607	0.000044	0.997446	0.000043
56048.71758782	0.12717678	0.999897	0.000043	1.021916	0.000044	0.999128	0.000043
56048.73802248	0.13441829	0.999793	0.000043	1.021807	0.000044	0.999020	0.000043
56048.75845704	0.14165978	0.999740	0.000043	1.021774	0.000044	0.998963	0.000043
56048.77889160	0.14890126	0.999608	0.000043	1.021680	0.000044	0.998827	0.000043
56048.79932617	0.15614275	0.999656	0.000043	1.021784	0.000044	0.998871	0.000043
56048.81976063	0.16338420	0.999680	0.000043	1.021865	0.000044	0.998891	0.000043
56048.84019529	0.17062572	0.999577	0.000043	1.021810	0.000044	0.998784	0.000043
56048.86062985	0.17786720	0.999518	0.000043	1.021791	0.000044	0.998720	0.000043
56048.88106431	0.18510865	0.999600	0.000043	1.021909	0.000044	0.998798	0.000043
56048.90149897	0.19235017	0.999680	0.000043	1.022021	0.000044	0.998874	0.000043
56048.92193354	0.19959165	0.999613	0.000043	1.021980	0.000044	0.998803	0.000043
56048.94236810	0.20683314	0.999745	0.000043	1.022144	0.000044	0.998931	0.000043
56048.96280266	0.21407462	0.999703	0.000043	1.022129	0.000044	0.998885	0.000043
56048.98323722	0.22131611	0.999677	0.000043	1.022128	0.000044	0.998855	0.000043
56049.00367188	0.22855763	0.999733	0.000043	1.022207	0.000044	0.998907	0.000043
56049.02410635	0.23579908	0.999654	0.000043	1.022143	0.000044	0.998824	0.000043
56049.04454091	0.24304056	0.999850	0.000043	1.022357	0.000044	0.999016	0.000043
56049.06497557	0.25028208	0.999848	0.000043	1.022365	0.000044	0.999010	0.000043
56049.08541003	0.25752353	0.999884	0.000043	1.022409	0.000044	0.999042	0.000043
56049.10584460	0.26476502	0.999971	0.000043	1.022503	0.000044	0.999125	0.000043
56049.12627926	0.27200653	0.999889	0.000043	1.022418	0.000044	0.999039	0.000043
56049.14671372	0.27924798	0.999958	0.000043	1.022487	0.000044	0.999104	0.000043
56049.16714839	0.28648951	1.000132	0.000043	1.022663	0.000044	0.999274	0.000043
56049.18758295	0.29373099	1.000211	0.000043	1.022740	0.000044	0.999349	0.000043
56049.20801741	0.30097244	1.000269	0.000043	1.022797	0.000044	0.999403	0.000043
56049.22845208	0.30821396	1.000337	0.000043	1.022866	0.000044	0.999467	0.000043
56049.24888664	0.31545544	1.000313	0.000043	1.022841	0.000044	0.999439	0.000043
56049.26932110	0.32269689	1.000435	0.000043	1.022964	0.000044	0.999557	0.000043
56049.28975577	0.32993842	1.000584	0.000043	1.023113	0.000044	0.999702	0.000043
56049.31019033	0.33717990	1.000634	0.000043	1.023155	0.000044	0.999748	0.000043
56049.33062499	0.34442142	1.000774	0.000043	1.023287	0.000044	0.999884	0.000043
56049.35105946	0.35166287	1.000656	0.000043	1.023151	0.000044	0.999763	0.000043
56049.37149402	0.35890435	1.000759	0.000043	1.023244	0.000044	0.999862	0.000043
56049.39192859	0.36614584	1.000878	0.000043	1.023355	0.000044	0.999977	0.000043
